index_entry_id,assertion_id,index_kind,index_url,ordinal,label,state_abbr,year,expected_group_count,record_url,record_url_aliases,record_http_status,record_sha256,record_cache_path,has_link,linked_url_http_success,assertion_detail_http_status,has_successful_detail
iccra_idx_6821da0bb5046d59,iccra_0c8ca6e5885edfe1,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,17,"Madera, Madera County (March 27, 2000)",CA,2000,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Madera,%20Madera%20County%20(March%2023,%202000).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Madera,%20Madera%20County%20(March%2023,%202000).html",200,f30b709b052f19152d2209d9eb5239c78028be56f4ac50e6dc82bd4644f95ee7,data/raw/iccra_full/objects/d3ff7ee82da442b3c1e49157e17fc03458b4821155d2ecd3ff047ea643a34a7b.html,True,True,200,True
iccra_idx_8d575c03d122c8ea,iccra_1e31962138bf5af5,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,18,"Santa Maria, Santa Barbara County (April 16, 2001)",CA,2001,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Maria,%20Santa%20Barbara%20County%20(April%2016,%202001).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Maria,%20Santa%20Barbara%20County%20(April%2016,%202001).html",200,835803ee41472abaae4287ac674226a571983dca51779aa896fffa8817c04a94,data/raw/iccra_full/objects/46ba87b519d49a10939e754b15c1693221a744d1b85702566f70a188a1190bdc.html,True,True,200,True
iccra_idx_a0ad980f9f4eac0f,iccra_fae41b00d57f206c,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,19,"Fresno, Fresno County (August 11, 2002)",CA,2002,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fresno,%20Fresno%20County%20(August%2011,%202002.html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fresno,%20Fresno%20County%20(August%2011,%202002.html",200,71f68552e3f7cd0c7702ac6e25f7f206b1847ccee4ff21d1d25272c9cb70e2ff,data/raw/iccra_full/objects/fc80a6e8b63b24afa6d914c5435352ac3b00b96263bd4411facac4119c94a7d0.html,True,True,200,True
iccra_idx_c26dd2e9f6105fa1,iccra_b9bb80819738fef7,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,20,"Rockville (1), Solano County (June 28, 2003)",CA,2003,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html",200,536c0b30381cb49ef2b4e95b1ccffbdf19e228a89bd36d5a43e49495abba8a02,data/raw/iccra_full/objects/be7d8982af0ad772d63129a8f898a44b428b81af1d533d5f04106f787b94f2b1.html,True,True,200,True
iccra_idx_977be794baf97285,iccra_352fca1747e2add1,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,21,"Rockville (2), Solano County (June 28, 2003)",CA,2003,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(2),%20Solano%20County%20(June%2028,%202003).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(2),%20Solano%20County%20(June%2028,%202003).html",200,04728380877abf061a4c738dccadaa0a641581ce2127629bdbb0006d2c3197fe,data/raw/iccra_full/objects/348acf38a6fa4b1fdad57433dcddc86676f15f742965401afb3e88bc13519212.html,True,True,200,True
iccra_idx_372cf81eeaf53d7c,iccra_39df3bcb111d733f,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,22,"Vacaville, Solano County (July 8, 2003)",CA,2003,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vacaville,%20Solano%20County%20(July%208,%202003).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vacaville,%20Solano%20County%20(July%208,%202003).html",200,79370460cd8913160c5051ce12e40c1a26facfc60919f37f09b1142e789cee80,data/raw/iccra_full/objects/ffb2f5d05faa806acdaae15333d0a532eee62345e6c4ba73922591271ed6331d.html,True,True,200,True
iccra_idx_74f3879a19c58a91,iccra_64b549959cec43b6,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,23,"Fairfield, Solano County (July 11, 2003 )",CA,2003,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fairfield,%20Solano%20County%20(July%2011,%202003).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fairfield,%20Solano%20County%20(July%2011,%202003).html",200,957e92c89a7c0551c25cf846e13ec101467f5c0efcdabaef3f98abec691365db,data/raw/iccra_full/objects/eb903438e53cccbfadf06455dfcd8b72c5737eddab7664fbd26e5bd206203b84.html,True,True,200,True
iccra_idx_6a8d7ef4c1807916,iccra_5ad53aa30468a7fb,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,24,"Cordelia / Fairfield, Solano County (July 16, 2004)",CA,2004,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Cordelia-Fairfield,%20Solano%20County%20(July%2016,%202004).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Cordelia-Fairfield,%20Solano%20County%20(July%2016,%202004).html",200,cf8c872195f628bd8506312d4af5c6864290cb70fcacfe37d74a829f519240af,data/raw/iccra_full/objects/81d1beb45437e7d3cf13e31a956fd16522747f13d0871bef12545160a4d8a400.html,True,True,200,True
iccra_idx_c5d02adff21de281,iccra_f70cd772729acc3a,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,25,"Red Bluff, Tehama County (May 11, 2007)",CA,2007,25,,,,,,False,False,,False
iccra_idx_118ac8f019eb7127,iccra_dd583cadb718cbf4,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,26,"Hidden Valley Lake, Lake County (May 17, 2010)",CA,2010,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hidden%20Valley%20Lake,%20Lake%20County%20(May%2017,%202010).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hidden%20Valley%20Lake,%20Lake%20County%20(May%2017,%202010).html",200,fee3e40537a6e6063d34e894a99d3117431684d7111c2382e623a9586ce5b52e,data/raw/iccra_full/objects/79df0dbbbe31b46a58edf79c07ac271a28628d59332dca7260efbe526113e700.html,True,True,200,True
