candidate_id,assertion_id,source_name,source_page,source_slot,year,month,day,date_iso,place,region,country,country_code,crop_box_px,page_width_px,page_height_px,diagram_status,straight_component_tier,straight_component_candidate,detector_score,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,line_segment_count,max_segment_length_px,dominant_support_length_px,dominant_support_fraction,ink_pixels,mid_gray_pixels,dark_to_mid_ratio,dark_component_count,largest_dark_component_px,axis_reference,geographic_azimuth_qualified,caveat,detector_version,source_pdf_sha256
sc_8ef01ed8d651485a,a_1e1546b80ea4fe,Crop Circle Center PDF catalog,2,16,1937,,,1937,Helions Bumpstead,Essex,England,GB,"921,1000,1241,1205",1241,1754,diagram,none,no,0.323,33.2,0.7,33.2;62.2,12,23.9,43.0,0.181,4514,4584,0.985,3,2059,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_c8ef5cede147286f,a_c73bd14770cf78,Crop Circle Center PDF catalog,2,17,1938,,,1938,Overboleare,Brabant,Belgium,BE,"0,1330,320,1530",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,658,2250,0.292,90,49,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_d747efd86fb1dcaf,a_f4a770a8938824,Crop Circle Center PDF catalog,2,18,1939,,,1939,Kilmacanogue,Wicklow,Ireland,IE,"300,1330,631,1530",1241,1754,diagram,low,yes,0.436,104.4,0.9,104.4;32.9;67.7;145.8,8,28.5,53.7,0.286,4177,4220,0.990,1,4177,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_960b9a81074c937e,a_8b80acfd8090fd,Crop Circle Center PDF catalog,2,19,1940,,,1940,Abbergavenny,Gwent,Wales,GB,"610,1330,941,1530",1241,1754,diagram,none,no,0.000,,,,0,0.0,0.0,0.000,959,2591,0.370,85,324,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_25f6f02cb9cf94ef,a_2946f002120ad1,Crop Circle Center PDF catalog,2,20,1940,,,1940,Earl Shilton,Leicestershire,England,GB,"921,1330,1241,1530",1241,1754,diagram,medium,yes,0.447,105.7,0.3,105.7;154.0;26.3;68.9,10,35.2,60.1,0.212,8541,8622,0.991,2,8220,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_739145d85c5dfffd,a_b58f03d822223a,Crop Circle Center PDF catalog,3,1,1940,,,1940,Elton,Gwent,England,GB,"0,10,320,230",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,643,2208,0.291,89,37,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_ad024e3b204c1667,a_10b908b7e76feb,Crop Circle Center PDF catalog,3,2,1940,,,1940,Kingham,Oxfordshire,England,GB,"300,10,631,230",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,598,2224,0.269,77,35,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_32d61d8842acfdf6,a_2c414cc9b327e8,Crop Circle Center PDF catalog,3,3,1940,,,1940,Mill End,Hertfordshire,England,GB,"610,10,941,230",1241,1754,diagram,high,yes,1.000,178.4,0.2,178.4;154.6;137.8,11,111.4,221.5,0.534,3595,3732,0.963,1,3595,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_6999e04c24dd73d4,a_da7c21eb2fb211,Crop Circle Center PDF catalog,3,4,1941,8,,1941-08,Llanerch-Y-Medd,Isle of Anglesey,Wales,GB,"921,10,1241,230",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,827,2798,0.296,72,42,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_49ffe12e6fd1aaa6,a_cd66cdb5734c59,Crop Circle Center PDF catalog,3,5,1941,9,,1941-09,Landis,Saskatchewan,Canada,CA,"0,340,320,560",1241,1754,diagram,none,no,0.368,35.3,0.1,35.3;115.2,6,19.8,38.5,0.339,2776,2824,0.983,2,1391,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_dc5a328a72338c3b,a_212d4ede22b0bd,Crop Circle Center PDF catalog,3,6,1941,,,1941,Middletown,Ohio,United States,US,"300,340,631,560",1241,1754,diagram,none,no,0.275,68.5,0.0,68.5;172.5;113.6;32.4,8,27.4,27.4,0.138,4170,4223,0.987,1,4170,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_ae359b685a012085,a_8eac995e29974b,Crop Circle Center PDF catalog,3,7,1943,12,,1943-12,Oslo Fjord,Østfold,Norway,NO,"610,340,941,560",1241,1754,diagram,none,no,0.279,118.2,0.0,118.2;107.9;148.8;160.6,7,26.8,26.8,0.153,4172,4217,0.989,1,4172,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_e99e9513a2941970,a_71911c0b011348,Crop Circle Center PDF catalog,3,8,1943,7,,1943-07,Flyde,Lancashire,England,GB,"921,340,1241,560",1241,1754,no_diagram,none,no,0.000,,,,2,16.3,32.5,1.000,828,2800,0.296,72,42,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
