candidate_id,image_link_id,assertion_ids,source_page_url,image_url,image_sha256,image_kind,inventory_http_status,public_redistribution_status,analysis_status,analysis_width_px,analysis_height_px,analysis_scale_factor,detector_score,straight_component_tier,straight_component_candidate,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,raw_line_segment_count,qualifying_line_segment_count,border_segment_rejection_count,dominant_cluster_segment_count,max_segment_length_px,max_segment_length_normalized,dominant_support_length_px,dominant_support_normalized,dominant_support_fraction,qualifying_lines_per_megapixel,axis_reference,geographic_azimuth_qualified,detector_version,rights_safe_output,caveat
isc_fc563d411c3648e4,iccra_img_eefd130e53f40d30,iccra_61aea042ec02187c,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20New%20Park,%20York%20County%20(June,%202004).html",https://iccra.org/bystate/Pennsylvania/images/newpark2004.jpg,44c800ad2ef12dea4c73a2668b39cf954d3ffd65c6df90091b707d24588ff33a,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,630,426,1.000000,0.580,none,no_review_candidate,146.4,2.9,146.4;169.9;157.5;1.7,857,32,0,9,133.3,0.313,503.2,1.181,0.274,119.234,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_cb6100fcf5cdec8e,iccra_img_97548b988039d072,,https://iccra.org/bystate/Pennsylvania/ICCRA_PA.html,https://iccra.org/bystate/Michigan/images/map_key.jpg,c28b14676c190c476e3dd0ab369bdd73add30e7ef6d9069876a0bb3931251ac8,map_or_aerial,200,not_cleared,analyzed_private_cache,128,45,1.000000,0.840,high,yes_review_candidate,179.6,0.8,179.6,39,13,1,12,48.8,1.084,290.6,6.457,0.966,1300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_22ca04b03c7ea7ab,iccra_img_0c625af8b2fea434,,https://iccra.org/bystate/Pennsylvania/ICCRA_PA.html,https://iccra.org/bystate/Ohio/images/miamisburg.JPG,00916643ba5ad32a263adbfd6a2a106053a2bd60037010aa38b887fb53713b2e,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,79,114,1.000000,0.353,none,no_review_candidate,128.0,3.2,128.0;92.9;32.9;151.8,45,23,0,3,25.5,0.323,55.1,0.697,0.146,2300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_deec17aaacc4abd4,iccra_img_e3614093e581d7cc,iccra_af1bb1a4b0cf7d1a,"https://iccra.org/bystate/Puerto%20Rico/ICCRA%20-%20Puerto%20Rico%20-%20Ajuntas,%20Ajuntas%20County%20(August%201991).htm",https://iccra.org/bystate/Puerto%20Rico/images/ajuntas1991.jpg,6b716e2df30ac827797c7b70dfe7ad49ae42879e358c588b6b7191f72bc34a98,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,274,198,1.000000,0.623,low,yes_review_candidate,2.2,3.1,2.2;13.7;168.8;25.9,424,57,3,22,41.6,0.210,441.1,2.228,0.379,1050.653,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_49ede9ae722f7ca9,iccra_img_380ee2b3cba19d1a,,https://iccra.org/bystate/Puerto%20Rico/ICCRA_PR.htm,https://iccra.org/bystate/Michigan/images/map_key.jpg,c28b14676c190c476e3dd0ab369bdd73add30e7ef6d9069876a0bb3931251ac8,map_or_aerial,200,not_cleared,analyzed_private_cache,128,45,1.000000,0.840,high,yes_review_candidate,179.6,0.8,179.6,39,13,1,12,48.8,1.084,290.6,6.457,0.966,1300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_dcdd2ca067598417,iccra_img_162b11fd78ddb3b3,,https://iccra.org/bystate/Puerto%20Rico/ICCRA_PR.htm,https://iccra.org/bystate/Ohio/images/miamisburg.JPG,00916643ba5ad32a263adbfd6a2a106053a2bd60037010aa38b887fb53713b2e,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,79,114,1.000000,0.353,none,no_review_candidate,128.0,3.2,128.0;92.9;32.9;151.8,45,23,0,3,25.5,0.323,55.1,0.697,0.146,2300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_b7de5372da2eb95d,iccra_img_0e1b7f2056b7c116,iccra_84436cd4054b986c,"https://iccra.org/bystate/South%20Carolina/ICCRA%20-%20SC%20-%20Anderson,%20Anderson%20County%20(May%205,%202003).html",https://iccra.org/bystate/South%20Carolina/images/anderson2003a.jpg,fd7f0dd27b288c69e0ea94f3105cd2ab0e4b5d594629dfe825ff39b50026de97,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,274,206,1.000000,0.758,medium,yes_review_candidate,0.1,2.5,0.1;14.5;166.8,397,76,6,31,76.2,0.370,831.5,4.036,0.420,1346.467,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_e64f994f76f6ea20,iccra_img_3a4dddf6e8dc71d8,iccra_84436cd4054b986c,"https://iccra.org/bystate/South%20Carolina/ICCRA%20-%20SC%20-%20Anderson,%20Anderson%20County%20(May%205,%202003).html",https://iccra.org/bystate/South%20Carolina/images/anderson2003b.jpg,726413e3fbdfbf35501ec67822be872cdd076a2d16758536b134e513c7f7c3fc,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,274,206,1.000000,0.817,medium,yes_review_candidate,179.7,1.8,179.7,359,28,8,17,92.5,0.449,536.0,2.602,0.730,496.067,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_d4a20f154ce18426,iccra_img_4d655b41cc413853,iccra_2ad98ad70a9af222,"https://iccra.org/bystate/South%20Carolina/ICCRA%20-%20SC%20-%20Bethune,%20Kershaw%20County%20(June%208,%201994).html",https://iccra.org/bystate/South%20Carolina/images/Bethune1994.jpg,c5ad75fa877cc3815a24fda4a8541d43a47b8ca5496e866d001b63d4a9afb698,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,273,195,1.000000,0.615,low,yes_review_candidate,163.4,3.0,163.4;148.4;4.7,438,33,0,14,48.9,0.251,239.6,1.229,0.382,619.893,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_fa93ea63fa11ad61,iccra_img_7fd3e51a645a959c,iccra_56bf916ff94624cf,"https://iccra.org/bystate/South%20Carolina/ICCRA%20-%20SC%20-%20McBee,%20Chesterfield%20County%20(June%209,%201994).html",https://iccra.org/bystate/South%20Carolina/images/McBee1994.jpg,a610b67aa87dc541853ee3ba3fae3c623feb5c33e70867a2574b7edb87b51f53,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,273,182,1.000000,0.593,none,no_review_candidate,159.5,3.2,159.5;172.5;7.3;136.5,303,44,0,14,44.0,0.242,259.6,1.426,0.305,885.561,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_86348130f3fcf9f2,iccra_img_ef2e11e28045b081,,https://iccra.org/bystate/South%20Carolina/ICCRA_SC.htm,https://iccra.org/bystate/Michigan/images/map_key.jpg,c28b14676c190c476e3dd0ab369bdd73add30e7ef6d9069876a0bb3931251ac8,map_or_aerial,200,not_cleared,analyzed_private_cache,128,45,1.000000,0.840,high,yes_review_candidate,179.6,0.8,179.6,39,13,1,12,48.8,1.084,290.6,6.457,0.966,1300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_c9339228be91b2cb,iccra_img_2cf7854e69c07d04,,https://iccra.org/bystate/South%20Carolina/ICCRA_SC.htm,https://iccra.org/bystate/Ohio/images/miamisburg.JPG,00916643ba5ad32a263adbfd6a2a106053a2bd60037010aa38b887fb53713b2e,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,79,114,1.000000,0.353,none,no_review_candidate,128.0,3.2,128.0;92.9;32.9;151.8,45,23,0,3,25.5,0.323,55.1,0.697,0.146,2300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_58f4c6d3d089415d,iccra_img_b50534a32be0dadf,iccra_25277940263b76a7,"https://iccra.org/bystate/South%20Dakota/ICCRA%20-%20SD%20-%20Leola,%20McPherson%20County%20(early%20August,%201990).htm",https://iccra.org/bystate/South%20Dakota/images/Leola.jpg,3bc382b8c59bbb685eb3dd47ff16a319a7c505ff3110d42692e85dc06cbdfe0c,diagram,200,not_cleared,analyzed_private_cache,261,178,1.000000,0.565,low,yes_review_candidate,180.0,0.1,180.0;48.8;121.4;135.7,60,36,0,6,52.5,0.295,225.0,1.264,0.271,774.893,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_3a3527e8c40b1cc1,iccra_img_e930fbf065621409,iccra_9565c880458f057a,"https://iccra.org/bystate/South%20Dakota/ICCRA%20-%20SD%20-%20Veblen%20Township,%20Marshall%20County,%20South%20Dakota%20(August%2011,%201965).html",https://iccra.org/bystate/South%20Dakota/images/Veblen67-739-2.jpg,0c54a183d7e87f8241a9b141512419b3e8fce0fa6d4fe9709d97384f1855a2c5,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,630,434,1.000000,0.455,none,no_review_candidate,179.7,0.7,179.7;88.2,1455,11,14,6,72.6,0.167,312.8,0.721,0.566,40.231,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
